id,key,value,type
26529522,highway,traffic_signals,regular
26529553,crossing,traffic_signals,regular
26529553,highway,traffic_signals,regular
26529567,created_by,JOSM,regular
26529603,created_by,JOSM,regular
26529606,created_by,JOSM,regular
26529612,created_by,JOSM,regular
26529613,created_by,JOSM,regular
26529615,created_by,JOSM,regular
26529616,created_by,JOSM,regular
26529620,created_by,JOSM,regular
26529621,created_by,JOSM,regular
26529622,created_by,JOSM,regular
26529623,created_by,JOSM,regular
26529624,created_by,JOSM,regular
26529625,created_by,JOSM,regular
26529626,created_by,JOSM,regular
26529627,created_by,JOSM,regular
26529628,created_by,JOSM,regular
26529634,created_by,JOSM,regular
26529640,created_by,JOSM,regular
26529641,created_by,JOSM,regular
26529642,created_by,JOSM,regular
26529643,created_by,JOSM,regular
26529644,created_by,JOSM,regular
61746217,highway,traffic_signals,regular
61748543,highway,traffic_signals,regular
61748553,highway,traffic_signals,regular
61748555,highway,traffic_signals,regular
247989224,crossing,traffic_signals,regular
247989224,highway,traffic_signals,regular
247989946,traffic_calming,bump,regular
247989953,traffic_calming,bump,regular
248542999,created_by,JOSM,regular
248543000,created_by,JOSM,regular
248543002,created_by,JOSM,regular
248543007,created_by,JOSM,regular
248543009,created_by,JOSM,regular
248543010,created_by,JOSM,regular
248543011,created_by,JOSM,regular
248543012,created_by,JOSM,regular
248543013,created_by,JOSM,regular
248543014,created_by,JOSM,regular
248543015,created_by,JOSM,regular
248543016,created_by,JOSM,regular
248543017,created_by,JOSM,regular
248543018,created_by,JOSM,regular
248543019,created_by,JOSM,regular
251082959,crossing,traffic_signals,regular
251082959,highway,traffic_signals,regular
251082964,highway,traffic_signals,regular
251082967,highway,bus_stop,regular
251082967,local_ref,KR PURAM,regular
251082967,name,KR Puram Railway Station,regular
251082967,kn,ಕೆಆರ್ ಪುರಂ ರೈಲ್ವೆ ನಿಲ್ದಾಣ,name
251099560,highway,bus_stop,regular
251099560,local_ref,HAL,regular
251099560,name,Helicopter Division,regular
251099560,en,Helicopter Division,name
251099560,network,BMTC,regular
251099560,operator,BMTC,regular
251099560,public_transport,platform,regular
251099560,wheelchair,no,regular
251103708,highway,bus_stop,regular
251103708,local_ref,Brookesfield,regular
251103708,name,Cosmos,regular
251103719,highway,traffic_signals,regular
